study_hours,attendance,previous_score,assignments,sleep_hours,participation,final_score
4.370861069626263,59.25664644193098,54.39381260547483,3,7.725897476848072,7,73.86749475542528
9.556428757689245,77.0950473689179,53.58383394895999,9,4.382199305197238,7,97.70893752105117
7.587945476302646,93.64729179382041,89.84400192865701,5,8.479420905963298,5,95.09752919567597
6.387926357773329,86.61124432047805,53.725040991722835,8,7.969646929299824,7,82.3260766735036
2.4041677639819286,90.32805739307248,54.9572349370747,7,4.7915195005280715,2,68.47292045064982
2.403950683025824,82.93916833553587,81.76690443298801,8,4.258929443664084,4,73.40236994225597
1.5227525095137953,84.61382822589263,64.7356913347797,7,6.786552876571543,7,74.57818263955004
8.795585311974417,92.45978257826596,82.71908063253497,3,4.780179056699884,3,88.91942090454226
6.41003510568888,62.483400442959294,43.59513866604119,2,8.17295476297636,2,54.776416651569065
7.372653200164409,74.47124818215703,66.81641565203614,7,5.791673283358369,10,81.26085031198122
1.185260448662222,61.06047209098011,41.84874801008054,3,8.564462223682877,2,50.06584463841574
9.72918866945795,99.38340039983234,43.445926190044496,3,6.828440860705029,1,78.96014240389941
8.491983767203795,97.20296698433066,89.85405993394261,2,4.913361921198341,5,92.37352686120164
2.9110519961044856,51.9713405684253,47.65849541146773,4,4.697994336799001,6,59.783778056701415
2.636424704863906,85.27875862578442,69.28313752513694,8,6.88236218778877,6,85.42763547578676
2.650640588680904,96.26241587078329,62.61025814303886,1,7.80941805931222,9,72.67781053630532
3.7381801866358395,59.02876725636668,59.10388294423635,1,7.907528238710911,4,59.16262610864351
5.72280788469014,78.39726152763147,89.49083401279998,5,5.3787870222064065,1,84.6690331282341
4.887505167779041,95.77441487940209,41.200286822651925,5,5.021233794560837,6,65.96277555717879
3.6210622617823773,51.69729892928994,76.5084327396574,1,4.083781522461912,5,63.2650097727501
6.506676052501415,84.871013362342,92.98669388174528,6,7.395995756005847,10,100.0
2.2554447458683766,64.86745036862754,70.8092500904013,1,4.382841292167695,6,64.25042669565832
3.629301836816963,96.21980976882652,91.52523541182005,5,6.103806008829629,3,74.49673284311181
4.297256589643226,98.55291225826838,42.87418336073131,9,7.0084108200914805,2,71.63759648079952
5.104629857953324,97.2133244556717,63.033632549078874,5,8.685544724598385,6,80.67322054043655
8.066583652537123,73.71071083287319,54.30867850291281,6,5.559010684778843,1,77.89391159867405
2.7970640394252375,93.10213254946567,80.19515307394013,8,5.248860812232599,7,87.78761254259369
5.628109945722504,92.22746992675351,93.97133997734856,1,7.270800771430492,7,97.48551911958829
6.331731119758382,65.95502366216279,54.10915343443363,2,7.096195160267908,10,74.04352073529515
1.4180537144799796,91.44577370753387,75.97960308107409,9,5.660548916540623,7,78.78115207369389
6.467903667112945,51.85038173577463,50.895369801785705,3,8.640509177548932,10,81.06855513785015
